sim_id 1: ml_ate=-0.0880 ml_ey1=0.2543 ml_ey0=0.3423   [1 this run, 21.6s/dataset]
sim_id 2: ml_ate=-0.0659 ml_ey1=0.2626 ml_ey0=0.3285   [2 this run, 21.6s/dataset]
sim_id 3: ml_ate=-0.1129 ml_ey1=0.2271 ml_ey0=0.3400   [3 this run, 23.2s/dataset]
sim_id 4: ml_ate=-0.0809 ml_ey1=0.2438 ml_ey0=0.3247   [4 this run, 23.8s/dataset]
sim_id 5: ml_ate=-0.0477 ml_ey1=0.2760 ml_ey0=0.3237   [5 this run, 23.8s/dataset]
sim_id 6: ml_ate=-0.1050 ml_ey1=0.2333 ml_ey0=0.3383   [6 this run, 23.9s/dataset]
sim_id 7: ml_ate=-0.0835 ml_ey1=0.2442 ml_ey0=0.3277   [7 this run, 23.8s/dataset]
sim_id 8: ml_ate=-0.0470 ml_ey1=0.2796 ml_ey0=0.3266   [8 this run, 23.8s/dataset]
sim_id 9: ml_ate=-0.0647 ml_ey1=0.2552 ml_ey0=0.3198   [9 this run, 23.6s/dataset]
sim_id 10: ml_ate=-0.0614 ml_ey1=0.2745 ml_ey0=0.3360   [10 this run, 23.5s/dataset]
sim_id 11: ml_ate=-0.0833 ml_ey1=0.2284 ml_ey0=0.3117   [11 this run, 23.4s/dataset]
sim_id 12: ml_ate=-0.0773 ml_ey1=0.2487 ml_ey0=0.3259   [12 this run, 23.5s/dataset]
sim_id 13: ml_ate=-0.1238 ml_ey1=0.2111 ml_ey0=0.3349   [13 this run, 23.4s/dataset]
sim_id 14: ml_ate=-0.0632 ml_ey1=0.2517 ml_ey0=0.3149   [14 this run, 23.4s/dataset]
sim_id 15: ml_ate=-0.0615 ml_ey1=0.2737 ml_ey0=0.3351   [15 this run, 23.5s/dataset]
sim_id 16: ml_ate=-0.0609 ml_ey1=0.2666 ml_ey0=0.3275   [16 this run, 23.7s/dataset]
sim_id 17: ml_ate=-0.0686 ml_ey1=0.2600 ml_ey0=0.3287   [17 this run, 23.7s/dataset]
sim_id 18: ml_ate=-0.0849 ml_ey1=0.2449 ml_ey0=0.3298   [18 this run, 23.8s/dataset]
