sim_id 501: ml_ate=-0.0958 ml_ey1=0.2294 ml_ey0=0.3252   [1 this run, 22.0s/dataset]
sim_id 502: ml_ate=-0.0815 ml_ey1=0.2432 ml_ey0=0.3247   [2 this run, 21.6s/dataset]
sim_id 503: ml_ate=-0.0850 ml_ey1=0.2365 ml_ey0=0.3215   [3 this run, 23.1s/dataset]
sim_id 504: ml_ate=-0.0716 ml_ey1=0.2750 ml_ey0=0.3466   [4 this run, 23.5s/dataset]
sim_id 505: ml_ate=-0.0588 ml_ey1=0.2753 ml_ey0=0.3341   [5 this run, 23.6s/dataset]
sim_id 506: ml_ate=-0.0725 ml_ey1=0.2485 ml_ey0=0.3210   [6 this run, 23.5s/dataset]
sim_id 507: ml_ate=-0.0669 ml_ey1=0.2623 ml_ey0=0.3292   [7 this run, 23.3s/dataset]
sim_id 508: ml_ate=-0.0804 ml_ey1=0.2464 ml_ey0=0.3268   [8 this run, 23.3s/dataset]
sim_id 509: ml_ate=-0.1002 ml_ey1=0.2354 ml_ey0=0.3356   [9 this run, 23.2s/dataset]
sim_id 510: ml_ate=-0.0550 ml_ey1=0.2559 ml_ey0=0.3109   [10 this run, 23.2s/dataset]
sim_id 511: ml_ate=-0.0858 ml_ey1=0.2336 ml_ey0=0.3194   [11 this run, 23.2s/dataset]
sim_id 512: ml_ate=-0.0921 ml_ey1=0.2333 ml_ey0=0.3254   [12 this run, 23.2s/dataset]
sim_id 513: ml_ate=-0.0990 ml_ey1=0.2212 ml_ey0=0.3201   [13 this run, 23.1s/dataset]
sim_id 514: ml_ate=-0.1094 ml_ey1=0.2234 ml_ey0=0.3328   [14 this run, 23.2s/dataset]
sim_id 515: ml_ate=-0.0600 ml_ey1=0.2666 ml_ey0=0.3266   [15 this run, 23.2s/dataset]
sim_id 516: ml_ate=-0.0958 ml_ey1=0.2326 ml_ey0=0.3284   [16 this run, 23.3s/dataset]
sim_id 517: ml_ate=-0.0847 ml_ey1=0.2357 ml_ey0=0.3204   [17 this run, 23.3s/dataset]
sim_id 518: ml_ate=-0.1046 ml_ey1=0.2384 ml_ey0=0.3430   [18 this run, 23.4s/dataset]
sim_id 519: ml_ate=-0.0810 ml_ey1=0.2428 ml_ey0=0.3238   [19 this run, 23.5s/dataset]
sim_id 520: ml_ate=-0.0490 ml_ey1=0.2759 ml_ey0=0.3249   [20 this run, 23.7s/dataset]
sim_id 521: ml_ate=-0.0956 ml_ey1=0.2461 ml_ey0=0.3417   [21 this run, 23.7s/dataset]
