sim_id 1: true_aipw=-0.1376 main_aipw=-0.1283   [1 this run, 4.7s/dataset]
sim_id 2: true_aipw=-0.1083 main_aipw=-0.1572   [2 this run, 4.5s/dataset]
sim_id 3: true_aipw=-0.1505 main_aipw=-0.0206   [3 this run, 4.4s/dataset]
sim_id 25: true_aipw=-0.0994 main_aipw=-0.2029   [25 this run, 4.8s/dataset]
sim_id 50: true_aipw=-0.0927 main_aipw=-0.0996   [50 this run, 4.6s/dataset]
sim_id 75: true_aipw=-0.1373 main_aipw=-0.1686   [75 this run, 4.6s/dataset]
sim_id 100: true_aipw=-0.0706 main_aipw=-0.0529   [100 this run, 4.7s/dataset]
sim_id 125: true_aipw=-0.0621 main_aipw=-0.0587   [125 this run, 4.6s/dataset]
sim_id 150: true_aipw=-0.0775 main_aipw=-0.1004   [150 this run, 4.5s/dataset]
sim_id 175: true_aipw=-0.1233 main_aipw=-0.1330   [175 this run, 4.5s/dataset]
sim_id 200: true_aipw=-0.1258 main_aipw=-0.1574   [200 this run, 4.4s/dataset]
sim_id 225: true_aipw=-0.1057 main_aipw=-0.1453   [225 this run, 4.4s/dataset]
sim_id 250: true_aipw=-0.0786 main_aipw=-0.1182   [250 this run, 4.4s/dataset]
sim_id 275: true_aipw=-0.0948 main_aipw=-0.1564   [275 this run, 4.3s/dataset]
sim_id 300: true_aipw=-0.0823 main_aipw=-0.1341   [300 this run, 4.3s/dataset]
sim_id 325: true_aipw=-0.0715 main_aipw=-0.1480   [325 this run, 4.3s/dataset]
sim_id 350: true_aipw=-0.1519 main_aipw=-0.1668   [350 this run, 4.3s/dataset]
sim_id 375: true_aipw=-0.0994 main_aipw=-0.1116   [375 this run, 4.3s/dataset]
sim_id 400: true_aipw=-0.1653 main_aipw=-0.1396   [400 this run, 4.3s/dataset]
sim_id 425: true_aipw=-0.0847 main_aipw=-0.1151   [425 this run, 4.3s/dataset]
sim_id 450: true_aipw=-0.1131 main_aipw=-0.1109   [450 this run, 4.4s/dataset]
sim_id 475: true_aipw=-0.1074 main_aipw=-0.1058   [475 this run, 4.4s/dataset]
sim_id 500: true_aipw=-0.1191 main_aipw=-0.1583   [500 this run, 4.4s/dataset]
sim_id 525: true_aipw=-0.1550 main_aipw=-0.1298   [525 this run, 4.4s/dataset]
sim_id 550: true_aipw=-0.1126 main_aipw=-0.1021   [550 this run, 4.4s/dataset]
sim_id 575: true_aipw=-0.1154 main_aipw=-0.1780   [575 this run, 4.4s/dataset]
sim_id 600: true_aipw=-0.1025 main_aipw=-0.1583   [600 this run, 4.4s/dataset]
sim_id 625: true_aipw=-0.1194 main_aipw=-0.0825   [625 this run, 4.4s/dataset]
sim_id 650: true_aipw=-0.1102 main_aipw=-0.1566   [650 this run, 4.4s/dataset]
sim_id 675: true_aipw=-0.1042 main_aipw=-0.1217   [675 this run, 4.4s/dataset]
sim_id 700: true_aipw=-0.1332 main_aipw=-0.1240   [700 this run, 4.4s/dataset]
sim_id 725: true_aipw=-0.1286 main_aipw=-0.1838   [725 this run, 4.4s/dataset]
sim_id 750: true_aipw=-0.1514 main_aipw=-0.1538   [750 this run, 4.4s/dataset]
sim_id 775: true_aipw=-0.1155 main_aipw=-0.1324   [775 this run, 4.4s/dataset]
sim_id 800: true_aipw=-0.0762 main_aipw=-0.1116   [800 this run, 4.4s/dataset]
sim_id 825: true_aipw=-0.1288 main_aipw=-0.1056   [825 this run, 4.4s/dataset]
sim_id 850: true_aipw=-0.1102 main_aipw=-0.1176   [850 this run, 4.4s/dataset]
sim_id 875: true_aipw=-0.1345 main_aipw=-0.1563   [875 this run, 4.4s/dataset]
sim_id 900: true_aipw=-0.1352 main_aipw=-0.1613   [900 this run, 4.4s/dataset]
sim_id 925: true_aipw=-0.1069 main_aipw=-0.0965   [925 this run, 4.4s/dataset]
sim_id 950: true_aipw=-0.1200 main_aipw=-0.1463   [950 this run, 4.4s/dataset]
sim_id 975: true_aipw=-0.0845 main_aipw=-0.1088   [975 this run, 4.4s/dataset]
sim_id 1000: true_aipw=-0.0797 main_aipw=-0.1083   [1000 this run, 4.4s/dataset]

Done: 1000 datasets -> sc_parametric_results.csv in 72.9 min
