spec,estimator,n_used,bias,ese,ase,rmse,cover_own,cover_emp
True,G-computation,1000,-0.0002,0.0116,,0.0116,,0.957
True,IPW (Hajek),1000,-0.0029,0.0157,0.0169,0.016,0.939,0.941
True,AIPW,1000,0.0001,0.0127,0.0118,0.0127,0.938,0.958
True,TMLE,1000,-0.0,0.0129,0.0116,0.0129,0.931,0.964
True,SC-AIPW,1000,0.001,0.0267,0.0196,0.0267,0.953,0.953
True,SC-TMLE,1000,-0.0045,0.0178,0.0155,0.0183,0.91,0.949
Main-effects,G-computation,1000,0.0076,0.0116,,0.0138,,0.9
Main-effects,IPW (Hajek),1000,0.0054,0.0193,0.0173,0.02,0.957,0.939
Main-effects,AIPW,1000,0.0112,0.0127,0.0144,0.0169,0.892,0.87
Main-effects,TMLE,1000,0.0094,0.0116,0.014,0.0149,0.909,0.87
Main-effects,SC-AIPW,1000,0.0155,0.0569,0.0367,0.059,0.903,0.926
Main-effects,SC-TMLE,1000,0.0056,0.0159,0.0255,0.0169,0.968,0.957
Machine learning,G-computation,1000,-0.0174,0.012,,0.0211,,0.686
Machine learning,IPW (Hajek),1000,-0.0061,0.0136,0.0155,0.0149,0.931,0.922
Machine learning,AIPW,1000,-0.0025,0.0125,0.0114,0.0128,0.924,0.947
Machine learning,TMLE,1000,0.001,0.0126,0.0109,0.0126,0.926,0.958
Machine learning,SC-AIPW,998,0.0047,0.0266,0.0187,0.027,0.947,0.946
Machine learning,SC-TMLE,998,-0.003,0.0137,0.0139,0.014,0.938,0.947
