Estimator,Specification,Bias,RMSE,ASE,ESE,CLD,Coverage
G-computation,True,0.0004082049997512355,0.017294246075784513,,0.017289427868150124,0.06777455724314849,0.948
G-computation,Main-effects,-0.022275144574804603,0.028393469918077573,,0.017607017582780146,0.06901950892449817,0.768
G-computation,Machine learning,0.026403918719901956,0.03124447500174362,,0.016704798543154986,0.06548281028916754,0.64
IPW,True,0.007242237102880661,0.02464393110907054,0.024739116700039292,0.023555749664450794,0.09697733746415402,0.944
IPW,Main-effects,-0.02182754410767844,0.03188363034753791,0.02313888669808432,0.02324057233300834,0.09070443585649053,0.867
IPW,Machine learning,0.011455034761223407,0.023926890603327717,0.0227151374753429,0.021006624492354208,0.08904333890334416,0.937
AIPW,True,0.00033603183482279475,0.020570492414671987,0.01979522348220341,0.02056774758664797,0.07759727605023736,0.941
AIPW,Main-effects,-0.015652439623596998,0.025547762067356643,0.01955408615397772,0.020191316957541863,0.07665201772359266,0.854
AIPW,Machine learning,0.004304235660215053,0.01972481990327332,0.016632694059750746,0.019249469488739172,0.06520016071422292,0.908
TMLE,True,0.0004991827407020977,0.020565288626318554,0.019560790760309726,0.020559229384273438,0.07667829978041413,0.938
TMLE,Main-effects,-0.01690307092221814,0.024836836962762017,0.01929113415903373,0.018197655445504102,0.07562124590341221,0.859
TMLE,Machine learning,-0.0014202271031603514,0.020156852342325598,0.016480777836218492,0.02010675636013342,0.06460464911797649,0.901
SC-AIPW,True,0.00012351255156116403,0.024577231476440024,0.02408511555517093,0.024576921119133722,0.09441365297627005,0.951
SC-AIPW,Main-effects,-0.01123712720713517,0.0368401175317035,0.03199228838688624,0.03508448705454293,0.12540977047659405,0.904
SC-AIPW,Machine learning,-0.0028960290897673407,0.02365816322172651,0.022067093947264062,0.023480240683116393,0.08650300827327512,0.935
SC-TMLE,True,0.0033857835829952942,0.024515696251849167,0.023059513428707334,0.024280770832946198,0.09039329264053275,0.946
SC-TMLE,Main-effects,-0.017099068099641915,0.026052935373916068,0.027740279346787838,0.019656482689465463,0.10874189503940832,0.921
SC-TMLE,Machine learning,0.0008294099253809001,0.020497595699834278,0.020464722313310146,0.02048080830068834,0.08022171146817578,0.938
